event   element | name     | type     | charge       | pT           | Eta          | Phi          | E            | mass
     810       2|        e-|        11|             1|       488.335|     -0.899048|       3.03125|       699.349|     -0.078064
     810       3|        e-|        11|            -1|       310.192|      0.642212|       2.80469|       376.388|     0.0597839
     810       4|        e-|        11|            -1|       249.307|       1.60132|      0.938843|       643.362|      0.169189
     811       1|        e-|        11|            -1|       1010.73|     -0.993286|     -0.369934|        1551.7|    -0.0842285
     811       2|        e-|        11|             1|        179.51|      0.915405|       2.59961|       260.123|      0.012619
     811       3|       mu-|        13|             1|        226.83|      -1.42651|       2.78516|       499.513|      0.105713
     811       4|       mu-|        13|            -1|       118.969|        1.6853|      -1.47583|       331.893|      0.105713
     812       1|        e-|        11|            -1|       899.935|      0.856323|     -0.960205|       1250.55|      0.153809
     812       2|       mu-|        13|             1|       1355.91|       1.21069|       1.75269|       2477.11|      0.105713
     812       3|       mu-|        13|             1|       657.834|     -0.223083|       1.56934|       674.271|      0.105713
     813       1|       mu-|        13|             1|       1198.75|      0.255249|     -0.352417|       1238.01|      0.105713
     813       2|       mu-|        13|            -1|       885.338|      0.349121|       1.81104|       939.843|      0.105713
     813       3|       mu-|        13|            -1|       657.837|     -0.370728|       -2.7041|       703.563|      0.105713
     813       4|       mu-|        13|             1|       297.081|       1.08374|       -2.9624|       489.298|      0.105713
     814       1|       mu-|        13|             1|       1235.17|       1.25488|       2.36182|       2342.21|      0.105713
     814       2|       mu-|        13|            -1|       364.832|       0.18399|       1.22192|       371.025|      0.105713
     815       1|        e-|        11|            -1|       687.029|      0.296814|      -1.58057|       717.515|     -0.146606
     815       2|        e-|        11|             1|       520.074|     -0.459961|      0.911011|       576.066|     -0.143799
     815       3|       mu-|        13|            -1|       410.757|       1.67749|       2.46436|       1137.58|      0.105713
     816       1|        e-|        11|            -1|       497.417|      0.947144|       1.01343|       737.714|     -0.069458
     816       2|       mu-|        13|             1|       521.594|      -1.37329|      -3.09521|       1095.76|      0.105713
     817       1|        e-|        11|            -1|       268.605|     -0.654541|      -1.77319|       328.227|     0.0516052
     817       2|       mu-|        13|            -1|       1427.42|    -0.0555878|       1.98291|       1429.62|      0.105713
     818       1|        e-|        11|            -1|       788.531|      0.152069|     -0.867676|       797.666|     -0.173462
     818       2|       mu-|        13|             1|       990.232|      0.648438|       3.12305|       1205.81|      0.105713
     818       3|       mu-|        13|            -1|       250.797|      0.660522|       1.11133|       307.526|      0.105713
     819       1|        e-|        11|            -1|       935.769|       0.31488|      -1.34058|       982.544|     -0.229248
     819       2|        e-|        11|            -1|       869.766|      0.429321|    -0.0877991|       951.161|     -0.183838
     819       3|        e-|        11|            -1|       6.00037|     0.0979156|      -1.66235|       6.02916|   -0.00222778
     819       4|       mu-|        13|             1|        711.51|      0.178253|       2.22412|       722.844|      0.105713
     820       1|        e-|        11|             1|       640.783|      -1.38525|        2.3208|       1360.41|      0.115662
     820       2|       mu-|        13|            -1|        759.24|      -1.21313|     -0.799072|       1389.89|      0.105713
     821       1|        e-|        11|             1|       731.289|      0.684692|      -1.94995|       909.507|      0.188477
     821       2|        e-|        11|            -1|        546.15|      -0.11676|       0.80835|       549.877|      0.152344
     821       3|       mu-|        13|            -1|       401.276|       1.99902|      -0.76062|       1508.26|      0.105713
     822       1|        e-|        11|             1|       1488.39|     0.0504227|       3.08301|       1490.28|      0.181885
