event   element | name     | type     | charge       | pT           | Eta          | Phi          | E            | mass
       1       1|       mu-|        13|            -1|        454.45|     -0.119766|       1.20386|       457.714|      0.105713
       1       2|       mu-|        13|             1|       239.956|       1.19214|       1.11646|       431.644|      0.105713
       2       1|        e-|        11|             1|          1656|    -0.0679169|     -0.981079|       1659.82|      -0.70459
       2       2|        e-|        11|            -1|       1302.38|     -0.473877|       2.32275|       1451.37|     -0.206421
       2       3|       mu-|        13|            -1|       1529.01|     -0.785034|       1.41113|       2024.85|      0.105713
       3       1|        e-|        11|             1|       1248.14|      0.272461|      -1.03809|       1294.76|     -0.572266
       3       2|       mu-|        13|            -1|       1225.35|      0.758667|       1.53711|       1595.23|      0.105713
       4       1|        e-|        11|             1|       1390.08|      0.289368|      0.253967|       1448.69|      0.281982
       4       2|        e-|        11|             1|       236.841|     -0.760864|      -2.74707|       308.769|    -0.0709839
       4       3|       mu-|        13|            -1|       282.045|     -0.410767|     -0.903198|       306.176|      0.105713
       5       1|        e-|        11|            -1|        438.54|      0.185669|      0.166473|       446.121|      0.129761
       5       2|       mu-|        13|            -1|       977.477|     -0.997192|       1.70874|       1505.11|      0.105713
       6       1|        e-|        11|            -1|       986.204|     -0.320801|      -2.73291|       1037.39|      0.186401
       6       2|        e-|        11|             1|       658.089|      0.689941|      0.569702|       821.034|      0.212036
       6       3|        e-|        11|             1|       193.734|      -1.74707|      -1.77832|       572.684|     0.0565186
       6       4|       mu-|        13|            -1|       461.318|     -0.505249|      0.497253|       521.463|      0.105713
       7       1|       mu-|        13|            -1|       1120.01|     -0.121552|        2.0542|       1128.29|      0.105713
       7       2|       mu-|        13|            -1|       66.1045|     -0.668579|      -1.42188|       81.4375|      0.105713
       8       1|        e-|        11|             1|       472.869|    -0.0311432|      -1.47095|       473.098|    -0.0835571
       8       2|       mu-|        13|             1|       792.724|    0.00175452|        1.9292|       792.725|      0.105713
       8       3|       mu-|        13|            -1|       697.268|      0.504761|      -1.21094|       787.996|      0.105713
       9       1|        e-|        11|            -1|       717.759|     -0.952148|     0.0955658|       1068.45|     -0.127319
       9       2|        e-|        11|             1|       416.446|     -0.577515|     -0.130188|       487.845|     -0.161865
      10       1|        e-|        11|             1|       529.316|      0.429321|      -1.31177|       578.851|     -0.166382
      10       2|        e-|        11|            -1|       301.529|     -0.620605|      -2.09229|       361.484|      0.037323
      10       3|       mu-|        13|            -1|        2061.3|      0.501343|       2.83447|       2325.82|      0.105713
      11       1|        e-|        11|            -1|       713.317|      0.696411|     -0.386108|       893.397|       0.23938
      11       2|        e-|        11|             1|       530.119|      0.518066|      -2.84375|       602.864|     -0.146484
      11       3|        e-|        11|             1|       298.579|     -0.490601|     0.0691528|       335.238|      0.103149
      12       1|        e-|        11|             1|       1219.98|    -0.0779266|      -2.33008|       1223.68|     0.0534363
      12       2|       mu-|        13|            -1|       1287.18|     -0.496826|       1.22705|       1449.34|      0.105713
      12       3|       mu-|        13|            -1|       617.759|     -0.114349|     -0.338989|       621.803|      0.105713
      12       4|       mu-|        13|             1|         169.2|      -2.30176|      -2.17383|       853.766|      0.105713
      13       1|       mu-|        13|            -1|       962.038|      0.300781|      -1.08105|       1005.88|      0.105713
      13       2|       mu-|        13|             1|       759.252|      -0.49408|       2.94482|       853.824|      0.105713
      13       3|       mu-|        13|             1|       584.424|       -2.0918|       2.10693|       2402.84|      0.105713
      13       4|       mu-|        13|            -1|       580.751|     -0.623901|      0.438843|       697.495|      0.105713
      14       1|        e-|        11|            -1|       225.893|      0.819824|       1.40137|       306.154|     -0.010849
      14       2|       mu-|        13|             1|       462.823|     -0.138641|     -0.936157|       467.278|      0.105713
      14       3|       mu-|        13|             1|       325.377|      -1.11523|       1.11499|       549.581|      0.105713
      15       1|        e-|        11|            -1|       635.315|     -0.214691|      -2.48096|       650.013|      0.129761
      15       2|       mu-|        13|            -1|       796.794|       0.56311|       1.88843|       926.497|      0.105713
      15       3|       mu-|        13|             1|       431.153|       1.28491|     -0.568848|       838.813|      0.105713
      15       4|       mu-|        13|             1|       286.895|      -1.39282|      0.594604|       613.177|      0.105713
      16       1|        e-|        11|             1|        997.24|      0.526001|      -2.49512|       1138.41|       0.28833
      16       2|        e-|        11|             1|       608.277|      -2.01953|       0.71582|       2331.99|      0.150757
      16       3|       mu-|        13|            -1|       351.718|      0.171936|     0.0582657|        356.93|      0.105713
      17       1|       mu-|        13|             1|       798.086|        1.2998|        1.8418|       1572.69|      0.105713
      17       2|       mu-|        13|            -1|       393.355|     -0.874146|      -1.35815|        553.46|      0.105713
      17       3|       mu-|        13|             1|       352.855|     -0.383667|     -0.188843|       379.146|      0.105713
      18       1|       mu-|        13|             1|       996.983|     -0.620361|      -1.43311|       1195.06|      0.105713
      18       2|       mu-|        13|            -1|       397.955|      0.116806|       2.22656|       400.673|      0.105713
      19       1|        e-|        11|            -1|       804.996|     -0.820068|       2.15625|       1091.19|     -0.386719
      19       2|        e-|        11|             1|       323.749|      0.157227|       2.56787|       327.759|    -0.0975952
      19       3|       mu-|        13|            -1|        299.62|      -1.40869|      -0.69397|       649.436|      0.105713
      20       1|        e-|        11|            -1|       8.15055|      -2.41699|      -2.88916|       46.0558|    0.00457382
      20       2|       mu-|        13|             1|       370.614|      -1.17358|      -2.16797|       656.509|      0.105713
      20       3|       mu-|        13|             1|       169.358|       1.78638|     -0.906372|       519.537|      0.105713
      21       1|        e-|        11|             1|       572.973|     -0.934692|      -2.46387|       842.022|      0.137817
      21       2|        e-|        11|             1|       244.504|      0.979614|      -2.57715|       371.509|     0.0762939
      21       3|       mu-|        13|            -1|       1056.34|       -1.0188|      0.602905|       1653.64|      0.105713
      22       1|        e-|        11|            -1|       729.012|       0.14975|      -2.59082|       737.202|      0.121948
      22       2|        e-|        11|             1|       613.573|     -0.358826|       1.78638|       653.499|     0.0795288
      22       3|        e-|        11|             1|       608.469|      0.928589|    -0.0989838|       890.204|     -0.145874
      22       4|       mu-|        13|            -1|       212.806|       -2.1499|     -0.966919|        925.76|      0.105713
      23       1|        e-|        11|             1|       1030.02|     -0.974609|       2.61377|       1559.17|      0.265137
      23       2|        e-|        11|             1|        774.81|    -0.0989227|      -0.78125|       778.604|     -0.120911
      23       3|        e-|        11|            -1|       337.603|      -2.40527|      0.908203|        1885.8|      0.469238
      23       4|       mu-|        13|             1|       237.588|      0.186218|       2.29785|        241.72|      0.105713
      24       1|        e-|        11|             1|       1309.58|     -0.439636|       1.60107|       1438.19|     -0.520508
      24       2|       mu-|        13|            -1|       1168.88|     -0.573975|      -1.98389|       1366.77|      0.105713
      25       1|        e-|        11|            -1|       639.373|      -0.74292|       1.64648|       824.083|      0.127441
      25       2|       mu-|        13|             1|       666.705|      0.863037|      -2.80225|       930.796|      0.105713
      25       3|       mu-|        13|            -1|       380.761|      0.783325|      -1.08838|       503.675|      0.105713
      25       4|       mu-|        13|             1|       209.453|      0.418884|     0.0912476|       228.099|      0.105713
      26       1|        e-|        11|             1|       891.978|      0.299377|       2.18555|        932.25|     -0.161743
      26       2|        e-|        11|            -1|       521.433|     -0.180206|       3.11865|       529.922|      0.185669
      26       3|        e-|        11|             1|        208.99|       1.14697|     -0.745483|       362.205|    -0.0714111
      27       1|        e-|        11|            -1|       1085.84|      0.448242|      -0.84375|       1196.77|     -0.289551
      27       2|       mu-|        13|             1|       665.883|     -0.209412|       2.38477|       680.537|      0.105713
      27       3|       mu-|        13|            -1|       450.083|      0.423462|       3.04443|       491.044|      0.105713
      28       1|        e-|        11|             1|       685.121|      0.369568|      -1.57373|       732.443|      0.266357
      28       2|        e-|        11|            -1|       424.856|      0.088623|      -1.04785|       426.526|      0.114868
      29       1|        e-|        11|             1|       517.517|      0.225372|    -0.0165443|       530.716|     -0.129272
      29       2|        e-|        11|            -1|       459.675|       2.42969|      0.466003|       2630.12|     -0.551758
      29       3|        e-|        11|            -1|       345.876|       1.62207|      -1.89868|       909.835|      0.255371
      29       4|       mu-|        13|            -1|       627.323|     -0.439392|      -3.10352|       688.861|      0.105713
      30       1|        e-|        11|            -1|       688.634|     -0.528076|      0.822876|       786.904|    -0.0822144
      30       2|        e-|        11|            -1|       608.505|     0.0373688|      -2.99854|        608.93|     -0.179077
      31       1|        e-|        11|            -1|       542.159|       0.85498|      -2.48828|       752.685|       0.13147
      31       2|       mu-|        13|             1|       592.453|     -0.398132|      0.552124|       640.032|      0.105713
      31       3|       mu-|        13|            -1|       386.235|       1.26392|      0.164337|       738.057|      0.105713
      31       4|       mu-|        13|             1|       329.985|       1.12061|       2.78711|       559.786|      0.105713
      32       1|        e-|        11|            -1|       752.362|      0.174805|      -2.51465|       763.886|      0.292969
      32       2|        e-|        11|             1|       295.049|       -1.6853|      -2.69775|       823.109|      0.162964
      32       3|       mu-|        13|            -1|       553.433|     -0.499268|      0.123962|       623.854|      0.105713
      33       1|        e-|        11|             1|       1186.88|     -0.558228|     -0.315308|       1376.65|     -0.325439
      33       2|       mu-|        13|            -1|       1229.56|     -0.705322|      -3.09424|       1548.29|      0.105713
      33       3|       mu-|        13|             1|       323.967|       0.50708|       1.73828|       366.518|      0.105713
      34       1|        e-|        11|             1|       370.077|     -0.562744|      -0.19339|       430.238|     0.0704346
      34       2|        e-|        11|            -1|       184.215|      0.219086|       2.08594|       188.653|    -0.0149841
      34       3|       mu-|        13|             1|       557.402|       -1.5249|       3.09326|        1341.2|      0.105713
      34       4|       mu-|        13|            -1|       292.582|     -0.141632|     -0.432922|       295.522|      0.105713
      35       1|        e-|        11|            -1|       730.343|       1.02197|       2.72559|       1146.11|    -0.0934448
      35       2|        e-|        11|             1|        124.11|     -0.969238|       1.04565|       187.115|    -0.0471191
      35       3|        e-|        11|             1|       7.66933|       1.92285|       1.04883|       26.7914|    0.00147629
      35       4|       mu-|        13|             1|       1389.19|    0.00647736|      -0.77002|       1389.22|      0.105713
      35       5|       mu-|        13|            -1|        388.85|     -0.462769|       2.34131|       431.236|      0.105713
      36       1|        e-|        11|            -1|       524.034|     -0.662964|       2.13428|       643.476|     0.0703735
      36       2|        e-|        11|             1|       251.605|       0.15625|       1.33545|       254.683|     0.0269623
      36       3|       mu-|        13|             1|       1073.91|       1.24365|      -1.21533|       2017.12|      0.105713
      37       1|       mu-|        13|            -1|        874.32|    -0.0966339|     -0.290955|       878.406|      0.105713
      37       2|       mu-|        13|             1|       359.459|       1.56421|       1.87964|       896.516|      0.105713
      38       1|        e-|        11|            -1|       917.096|    -0.0193253|      -2.88379|       917.267|     -0.194214
      38       2|        e-|        11|            -1|       693.806|      0.446289|       1.62427|       764.055|      0.110779
      38       3|        e-|        11|             1|       692.944|     -0.178864|      0.692627|       704.058|      0.172852
      39       1|        e-|        11|             1|       1138.08|     -0.146484|       1.71582|       1150.31|     -0.135742
      39       2|        e-|        11|            -1|        1081.7|      0.556519|      -1.53491|       1253.57|     -0.271484
      39       3|        e-|        11|            -1|       348.896|     -0.734009|     -0.337769|       447.179|      0.138794
      39       4|       mu-|        13|             1|       377.227|       1.31592|       2.86719|       753.776|      0.105713
      40       1|        e-|        11|             1|       1371.76|      0.670898|       -1.7793|       1692.23|      0.206299
      40       2|        e-|        11|            -1|       389.114|     -0.515137|       2.41504|       441.895|    0.00610351
      40       3|       mu-|        13|            -1|       1691.93|     0.0444641|      0.644897|       1693.61|      0.105713
      41       1|       mu-|        13|             1|       1305.03|      0.551514|      -2.11816|       1508.58|      0.105713
      41       2|       mu-|        13|            -1|        518.97|     -0.223572|      0.129089|       531.994|      0.105713
      41       3|       mu-|        13|             1|       293.671|       1.63306|       1.90527|       780.405|      0.105713
      42       1|        e-|        11|             1|       602.922|      0.393494|     -0.339844|       650.205|     -0.142334
      42       2|        e-|        11|            -1|        265.51|       0.28363|      -2.04102|       276.262|    -0.0415344
      42       3|       mu-|        13|             1|        837.74|      0.316895|      -2.85205|       880.157|      0.105713
      42       4|       mu-|        13|            -1|       750.645|      -1.66772|        1.1228|       2060.06|      0.105713
      43       1|        e-|        11|            -1|       1130.41|     -0.281311|      0.848999|       1175.43|     -0.230469
      43       2|       mu-|        13|             1|       546.109|       0.33905|      -1.81689|       577.799|      0.105713
      44       1|        e-|        11|             1|       414.849|      0.372192|      -2.89795|       443.916|      0.115417
      44       2|       mu-|        13|             1|       792.852|      0.671631|     -0.819336|         978.5|      0.105713
      45       1|        e-|        11|            -1|       560.193|      0.369385|       1.71289|       598.847|     0.0679932
      45       2|        e-|        11|             1|       533.071|       0.34845|      -1.34424|       565.762|      0.187012
      45       3|       mu-|        13|            -1|       808.582|      0.712769|      -2.11426|       1022.82|      0.105713
      46       1|        e-|        11|            -1|       417.177|     0.0644379|      -1.74854|       418.044|     -0.107422
      46       2|       mu-|        13|            -1|       902.181|      0.714844|       2.08496|       1142.67|      0.105713
      47       1|        e-|        11|            -1|       1541.77|     0.0106125|      0.122528|       1541.85|      0.213013
      47       2|        e-|        11|             1|       1473.24|      -1.27026|       2.98291|       2830.49|     -0.753418
      47       3|        e-|        11|            -1|       200.002|      -1.97192|     -0.322632|       732.373|     -0.240723
      47       4|       mu-|        13|             1|       292.291|    -0.0369339|      -1.65771|        292.49|      0.105713
      48       1|        e-|        11|             1|       615.732|     -0.741089|      -2.13672|       792.698|      0.151367
      48       2|       mu-|        13|            -1|       2091.86|     -0.270203|      0.296265|       2168.68|      0.105713
      48       3|       mu-|        13|             1|       1052.62|      0.188751|       2.77441|       1071.42|      0.105713
      48       4|       mu-|        13|            -1|       365.336|     -0.379944|      -1.88501|       392.025|      0.105713
      49       1|        e-|        11|            -1|       1474.55|     -0.906006|       1.59131|       2122.29|      0.350098
      49       2|        e-|        11|             1|       977.397|      -1.29443|      -1.24731|       1917.15|     -0.334717
      49       3|        e-|        11|            -1|        284.15|     -0.329285|     -0.977051|       299.694|     0.0776367
      50       1|        e-|        11|            -1|       369.128|       1.39453|      -1.24512|       790.124|      0.174194
      50       2|        e-|        11|            -1|       169.586|      -1.20093|       2.65723|       307.299|    -0.0700073
      50       3|       mu-|        13|             1|       515.204|       1.18213|       1.35059|       919.108|      0.105713
      50       4|       mu-|        13|             1|       336.354|     -0.165527|      -1.75024|       340.973|      0.105713
      51       1|       mu-|        13|            -1|       813.816|      -1.25952|      0.331238|       1549.31|      0.105713
      51       2|       mu-|        13|             1|       788.112|      -1.14526|      -2.85156|       1363.99|      0.105713
      51       3|       mu-|        13|            -1|       487.179|     -0.372803|       3.08252|       521.427|      0.105713
      52       1|        e-|        11|             1|       1436.06|     -0.572021|      -1.62817|       1677.48|     -0.504883
      52       2|        e-|        11|            -1|       358.185|    -0.0592499|       2.38916|       358.814|    -0.0731812
      53       1|        e-|        11|            -1|       562.144|      0.583252|       1.23169|       660.501|    -0.0939331
      53       2|        e-|        11|             1|       421.613|     -0.429504|       2.29004|       461.103|      0.152222
      53       3|       mu-|        13|            -1|       468.694|      -1.37427|     0.0734558|       985.476|      0.105713
      53       4|       mu-|        13|             1|       212.429|      0.445557|      -1.77051|       233.866|      0.105713
      54       1|        e-|        11|             1|       502.973|       0.57373|      0.426636|       588.049|       0.14624
      54       2|       mu-|        13|            -1|       625.368|     -0.713379|      -0.15097|        791.36|      0.105713
      55       1|        e-|        11|             1|       1054.34|    -0.0738373|       1.46216|       1057.21|      0.253418
      55       2|       mu-|        13|            -1|       1542.18|     -0.187225|      -2.56396|       1569.29|      0.105713
      55       3|       mu-|        13|             1|       1133.22|      0.423157|      0.345337|        1236.2|      0.105713
      55       4|       mu-|        13|            -1|       615.661|     -0.779663|      -1.32031|       812.457|      0.105713
      56       1|        e-|        11|            -1|       912.203|       1.09985|       0.98999|       1521.85|     -0.470459
      56       2|       mu-|        13|             1|       853.264|        -1.229|      -1.90259|       1582.98|      0.105713
      56       3|       mu-|        13|             1|       384.695|     0.0601349|      -1.76196|       385.391|      0.105713
      57       1|        e-|        11|             1|       464.122|      -1.05737|      -3.08594|       748.668|      -0.22583
      57       2|        e-|        11|             1|       404.131|      -1.07813|      0.422241|       662.654|      0.181885
      57       3|       mu-|        13|            -1|       480.207|      0.771606|      -2.93848|       630.394|      0.105713
      58       1|        e-|        11|             1|       1334.55|      0.354553|       1.29688|       1419.32|     -0.223755
      58       2|        e-|        11|             1|        249.22|       1.97925|       2.78271|       919.057|      0.209106
      58       3|       mu-|        13|            -1|       1212.57|      0.347229|      -1.20337|        1286.4|      0.105713
      58       4|       mu-|        13|            -1|       454.285|      0.739258|      -2.77637|       584.177|      0.105713
      59       1|        e-|        11|            -1|       1246.45|      0.994141|      0.238495|       1914.82|      -0.29126
      59       2|        e-|        11|             1|       260.028|      0.699219|      -1.28052|       326.225|     0.0528564
      60       1|        e-|        11|            -1|       954.512|      0.187469|       1.78906|       971.334|      0.115845
      60       2|        e-|        11|             1|       769.997|     0.0310364|      0.238617|       770.368|     -0.113708
      60       3|        e-|        11|             1|       751.629|      0.400757|      -1.77563|       812.799|      0.106018
      60       4|       mu-|        13|            -1|       437.021|        1.0354|       -2.4458|       692.967|      0.105713
      61       1|        e-|        11|            -1|       1431.78|      0.161682|       -1.9834|       1450.54|      0.228516
      61       2|        e-|        11|            -1|       317.845|     -0.782837|       2.38916|       420.314|    -0.0837402
      61       3|       mu-|        13|             1|        1161.8|     -0.438416|       1.21704|       1275.25|      0.105713
      61       4|       mu-|        13|             1|        542.94|      0.950195|      0.630737|       807.048|      0.105713
      62       1|        e-|        11|            -1|       720.893|      0.226715|       2.72705|       739.499|     -0.192261
      62       2|        e-|        11|             1|       379.777|      0.655518|       1.01318|       464.337|     -0.105042
      62       3|       mu-|        13|            -1|       799.225|      0.824951|      0.869873|       1086.96|      0.105713
      63       1|       mu-|        13|             1|       699.516|      0.468201|      -2.74268|       777.598|      0.105713
      63       2|       mu-|        13|             1|       484.747|       1.62744|       1.18726|       1281.49|      0.105713
      64       1|        e-|        11|             1|       963.837|     -0.498901|      0.407776|        1086.3|      0.158325
      64       2|        e-|        11|             1|       490.893|     -0.189087|       2.78711|       499.695|      0.126831
      64       3|        e-|        11|            -1|       401.614|      -1.27612|       2.21533|       775.485|      -0.16333
      64       4|       mu-|        13|            -1|       919.175|     -0.154816|       -1.7644|       930.212|      0.105713
      65       1|        e-|        11|            -1|       1161.08|     -0.760498|      0.207214|       1513.34|       0.29834
      65       2|        e-|        11|            -1|       362.536|      -1.10425|      -3.12109|        606.96|      0.116516
      65       3|        e-|        11|             1|       304.439|      -1.04468|     -0.242462|       486.232|     0.0811768
      65       4|       mu-|        13|             1|       1056.39|     0.0962219|      -2.85547|       1061.28|      0.105713
      66       1|        e-|        11|             1|       872.196|      -1.15063|      0.862671|       1516.15|     0.0966186
      66       2|       mu-|        13|             1|       908.546|     -0.259888|       2.12939|       939.401|      0.105713
      67       1|       mu-|        13|            -1|       752.809|     -0.407837|      -2.36475|        816.29|      0.105713
      67       2|       mu-|        13|             1|       558.204|       1.23291|      0.949341|          1039|      0.105713
      68       1|       mu-|        13|            -1|       458.505|      0.167114|      -1.95947|       464.922|      0.105713
      68       2|       mu-|        13|            -1|       441.009|      0.971069|       1.25122|       665.801|      0.105713
      69       1|        e-|        11|            -1|       678.486|        1.3667|      -1.50293|       1417.13|      0.127808
      69       2|        e-|        11|            -1|       45.4562|       1.93237|       2.40381|       160.249|    -0.0372009
      69       3|       mu-|        13|             1|       608.359|     -0.870239|      0.337036|        853.63|      0.105713
      69       4|       mu-|        13|             1|       277.031|        1.2168|       2.62207|       508.702|      0.105713
      70       1|        e-|        11|            -1|       252.462|      -0.24646|       1.90259|       260.168|    -0.0606689
      70       2|        e-|        11|            -1|        250.71|       1.19775|       2.54199|       453.101|    -0.0819092
      70       3|       mu-|        13|             1|       505.044|     -0.321289|      -1.83472|       531.336|      0.105713
      71       1|        e-|        11|            -1|       600.215|     -0.891846|      0.165131|       855.164|     -0.175049
      71       2|        e-|        11|             1|       489.476|      -1.03101|        1.3894|       773.503|     -0.183716
      71       3|       mu-|        13|             1|       787.046|      0.723633|       2.34131|       1002.26|      0.105713
      72       1|        e-|        11|             1|       750.155|      0.305359|      0.309753|       785.401|     -0.110962
      72       2|        e-|        11|            -1|       424.157|      0.184601|       2.43945|       431.404|     0.0532227
      72       3|        e-|        11|             1|       323.398|       1.91357|      -2.27148|       1119.74|     -0.363525
      72       4|       mu-|        13|            -1|       1079.76|       1.39697|      -2.20654|       2316.23|      0.105713
      73       1|        e-|        11|             1|       875.811|     -0.125763|       2.17383|       882.747|     -0.158325
      73       2|       mu-|        13|            -1|       641.542|      0.961304|       -1.0686|       961.511|      0.105713
      73       3|       mu-|        13|             1|       328.789|      -1.40747|      -1.55347|       711.889|      0.105713
      74       1|        e-|        11|            -1|       988.554|      -0.17392|      0.953247|       1003.54|      0.115295
      74       2|       mu-|        13|             1|       919.549|     -0.932251|       -1.6792|       1348.93|      0.105713
      74       3|       mu-|        13|            -1|       715.703|     -0.645386|       1.91846|       870.003|      0.105713
      75       1|        e-|        11|             1|        546.89|      0.583008|      0.710327|       642.496|     0.0134354
      75       2|       mu-|        13|            -1|       440.399|     -0.453247|      -2.49268|       486.415|      0.105713
      76       1|        e-|        11|            -1|       1167.92|     -0.134674|      0.586548|       1178.53|      0.398926
      76       2|       mu-|        13|             1|       218.774|      -1.16797|      -1.19629|       385.748|      0.105713
      77       1|       mu-|        13|             1|       1018.48|      0.127716|      -2.86865|        1026.8|      0.105713
      77       2|       mu-|        13|            -1|       358.686|      -1.21973|      -1.64893|       660.264|      0.105713
      77       3|       mu-|        13|             1|       357.448|     -0.547974|      0.294678|       412.471|      0.105713
      78       1|        e-|        11|            -1|       325.686|      0.665405|      0.541626|       400.487|     -0.126587
      78       2|       mu-|        13|            -1|       1183.87|     -0.104996|      -2.40527|       1190.41|      0.105713
      79       1|        e-|        11|            -1|       640.118|     -0.092865|      -2.39014|       642.881|      0.137573
      79       2|       mu-|        13|            -1|       972.471|      0.428772|       2.10938|       1063.24|      0.105713
      79       3|       mu-|        13|             1|       271.348|       1.80591|       -1.4082|       847.937|      0.105713
      80       1|        e-|        11|            -1|       1283.67|      0.658081|      -1.38892|       1571.81|     -0.515137
      80       2|        e-|        11|             1|        1232.2|     -0.589478|       1.68799|       1452.55|     -0.499512
      80       3|       mu-|        13|             1|       314.238|      0.669556|    -0.0983734|       387.346|      0.105713
      81       1|        e-|        11|             1|       888.533|      -1.25244|      -2.90527|       1681.41|      0.466309
      81       2|       mu-|        13|            -1|       1440.13|     -0.803589|    -0.0513229|       1930.68|      0.105713
      81       3|       mu-|        13|            -1|       250.637|      -1.41235|       3.00195|       545.033|      0.105713
      81       4|       mu-|        13|             1|       92.2053|      0.807617|       2.46973|       123.946|      0.105713
      82       1|        e-|        11|             1|       409.868|     -0.471069|      -1.65649|       456.191|     0.0949707
      82       2|        e-|        11|             1|       59.5524|       2.41064|      -2.52197|       334.413|     -0.105469
      82       3|       mu-|        13|            -1|       808.116|      0.733276|       2.44141|       1035.29|      0.105713
      82       4|       mu-|        13|            -1|       504.777|   -0.00645351|     0.0387192|       504.788|      0.105713
      83       1|        e-|        11|             1|        1156.5|     -0.826416|     -0.105515|       1574.42|      0.151855
      83       2|        e-|        11|            -1|       1101.16|    0.00381756|       3.02344|       1101.16|     -0.302002
      84       1|        e-|        11|            -1|       906.849|      0.468872|      -2.90674|       1008.37|      0.265625
      84       2|        e-|        11|            -1|        445.01|       1.38477|       1.08545|       944.372|      0.111145
      84       3|        e-|        11|             1|        53.755|       1.59692|       1.89429|       138.159|     0.0342407
      84       4|       mu-|        13|             1|       869.378|      0.371826|     -0.630859|       930.171|      0.105713
      85       1|        e-|        11|            -1|       869.249|      0.115219|      -1.69434|       875.025|    -0.0750122
      85       2|        e-|        11|             1|       310.914|       1.79639|       1.24731|       962.857|     -0.137451
      85       3|        e-|        11|             1|       310.797|      -1.16675|       1.03638|       547.456|    -0.0864868
      86       1|       mu-|        13|             1|       933.859|      -0.73584|     0.0707703|        1198.3|      0.105713
      86       2|       mu-|        13|             1|        602.51|      -0.85083|      -2.01074|        834.07|      0.105713
      86       3|       mu-|        13|            -1|       463.309|      -1.06665|      -2.22754|       752.828|      0.105713
      87       1|        e-|        11|             1|       563.831|       1.89478|      -1.78003|       1917.42|     -0.515625
      87       2|        e-|        11|            -1|       320.303|       1.09912|      -2.63037|       534.056|      0.139404
      87       3|        e-|        11|             1|       109.251|      0.295593|      0.283142|       114.059|    -0.0185394
      88       1|        e-|        11|             1|       714.911|      0.882446|      0.293762|        1011.8|     -0.224976
      88       2|        e-|        11|             1|       25.2892|        2.0874|       -2.5332|       103.533|    -0.0182495
      89       1|        e-|        11|             1|       1107.15|     -0.452454|       1.70166|       1222.42|      0.375732
      89       2|       mu-|        13|            -1|       1056.16|     -0.222443|      -1.66577|        1082.4|      0.105713
      90       1|        e-|        11|             1|       910.765|     -0.314575|       1.52808|       956.201|      0.365723
      90       2|        e-|        11|             1|        744.99|     -0.453979|      -0.18866|       823.087|      0.187012
      90       3|       mu-|        13|            -1|       1389.71|     -0.424438|      -2.45898|       1516.77|      0.105713
      91       1|        e-|        11|            -1|       606.158|     -0.238739|       2.11377|       623.515|     -0.178101
      91       2|       mu-|        13|            -1|       267.078|     -0.575562|       -1.9502|        312.55|      0.105713
      92       1|        e-|        11|             1|       1251.94|      0.706787|       1.33643|       1577.88|      0.393799
      92       2|       mu-|        13|             1|       240.747|     -0.528564|      -1.48364|       275.167|      0.105713
      93       1|       mu-|        13|            -1|       629.544|      -0.30072|      -2.29639|       658.225|      0.105713
      93       2|       mu-|        13|             1|       574.697|     -0.766113|      -2.32227|       751.763|      0.105713
      94       1|        e-|        11|             1|       738.563|     -0.310425|     -0.193115|       774.435|     -0.202637
      94       2|        e-|        11|             1|       726.963|     -0.468872|       1.94678|       808.346|      0.152344
      94       3|       mu-|        13|            -1|       961.821|      -0.40509|      -1.73755|       1041.82|      0.105713
      95       1|        e-|        11|             1|       1052.82|     -0.332642|       1.47461|       1111.61|      0.360107
      95       2|       mu-|        13|            -1|       1220.69|      0.230316|      -1.83716|        1253.2|      0.105713
      96       1|        e-|        11|            -1|       763.712|      0.615479|      -3.08496|       912.989|     -0.129272
      96       2|        e-|        11|             1|       28.5016|      -2.39551|      -1.81396|       157.684|    -0.0614014
      96       3|       mu-|        13|             1|       848.216|      -1.02368|     -0.823975|       1332.84|      0.105713
      96       4|       mu-|        13|            -1|       265.161|      -1.20459|       1.24097|       481.957|      0.105713
      97       1|       mu-|        13|            -1|       1432.72|     -0.381287|      0.780273|       1538.13|      0.105713
      97       2|       mu-|        13|            -1|       317.048|     -0.168793|      -2.25146|       321.575|      0.105713
      97       3|       mu-|        13|             1|       190.453|      -1.65771|      0.568115|        517.83|      0.105713
      98       1|        e-|        11|             1|       1906.49|     -0.312073|      -3.11475|       2000.08|      -0.67627
      98       2|        e-|        11|            -1|        1204.2|     -0.606079|      0.453247|       1432.22|       0.51709
      98       3|        e-|        11|            -1|       746.322|     -0.277283|      -1.00244|       775.197|      0.095459
      98       4|        e-|        11|             1|       145.896|      0.519897|     -0.233185|       166.062|     -0.051239
      99       1|        e-|        11|            -1|       1039.06|      0.743408|       1.32544|       1339.65|      0.439941
      99       2|       mu-|        13|            -1|       456.223|      0.634521|     -0.246307|       551.188|      0.105713
     100       1|        e-|        11|            -1|       874.077|       1.00171|      -2.17578|       1350.53|      0.213501
     100       2|       mu-|        13|             1|       924.057|      0.917969|       2.29639|       1341.51|      0.105713
     100       3|       mu-|        13|            -1|       457.784|      0.556274|     0.0923309|       530.458|      0.105713
     100       4|       mu-|        13|             1|       263.556|      0.735474|     -0.224915|       338.109|      0.105713
     101       1|        e-|        11|             1|       308.139|     -0.127472|      -1.05957|       310.646|     0.0896606
     101       2|       mu-|        13|             1|        1174.7|     -0.961426|       2.00977|       1760.74|      0.105713
